,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-699.292969,481.64093,953.784729,-851.359192,591.353027,734.237122,-823.439392,355.254913,718.774475,-612.103271,406.686676,711.744934,-637.03894,593.487,707.239319
2,0,-699.211304,481.578857,953.78009,-851.312134,591.311462,734.236328,-823.777588,355.199677,718.968384,-612.046448,406.648315,711.752991,-637.000977,593.441223,707.230957
3,0,-699.131226,481.529541,953.764709,-851.26001,591.250671,734.258179,-823.716614,355.17038,718.962036,-611.986572,406.615875,711.709167,-636.953796,593.381104,707.202393
4,0,-699.055664,481.45694,953.754028,-851.200439,591.198853,734.263428,-823.667908,355.118378,718.957886,-611.927368,406.567474,711.689514,-636.902405,593.371399,707.207947
5,0,-698.95636,481.40744,953.730835,-851.144165,591.166199,734.261902,-823.540222,355.07605,718.933228,-611.849487,406.534698,711.634644,-636.873169,593.332275,707.191162
6,0,-698.862366,481.363373,953.737183,-851.094971,591.118347,734.271484,-823.470398,355.036987,718.920471,-611.795105,406.477753,711.598389,-636.810486,593.311157,707.17041
7,0,-698.767883,481.336884,953.706543,-850.971558,591.105835,734.278137,-823.394775,354.96875,718.9245,-611.729858,406.448212,711.581116,-636.73877,593.284119,707.164673
8,0,-698.666321,481.297058,953.696899,-850.893372,591.097473,734.283142,-822.981384,355.074615,718.651306,-611.646912,406.42691,711.521423,-636.692017,593.245239,707.137512
9,0,-698.572754,481.251892,953.685608,-850.86438,591.114258,734.308472,-823.068542,355.197296,718.637634,-611.583557,406.381653,711.507446,-636.629883,593.230225,707.12915
10,0,-698.454224,481.214905,953.66272,-850.776489,591.085693,734.311768,-822.985901,355.137878,718.645813,-611.503723,406.36615,711.462585,-636.546753,593.210571,707.102844
11,0,-698.349182,481.209686,953.653992,-850.679199,591.068787,734.315369,-822.907959,355.118896,718.653137,-611.42981,406.325867,711.407898,-636.472229,593.18512,707.073364
12,0,-698.253967,481.181427,953.636841,-850.593689,591.05481,734.33551,-822.737183,355.029053,718.651245,-611.359863,406.318298,711.367554,-636.398071,593.176147,707.062256
13,0,-698.138733,481.144531,953.61969,-850.518555,591.014099,734.335571,-822.806335,354.894196,718.804321,-611.289978,406.282013,711.354614,-636.233643,593.163269,707.061096
14,0,-698.014832,481.130432,953.620789,-850.451599,590.982971,734.346313,-822.721924,354.836151,718.810059,-611.198059,406.240051,711.326782,-636.166321,593.147339,707.04187
15,0,-697.891602,481.102417,953.602783,-850.34552,590.958313,734.365234,-822.637634,354.839447,718.81134,-611.126221,406.221375,711.304016,-636.081421,593.130798,707.034546
16,0,-697.768982,481.076874,953.587646,-850.062988,591.196716,734.404968,-822.556396,354.818848,718.817505,-611.036438,406.216553,711.252319,-635.995361,593.12262,707.008301
17,0,-697.643372,481.055023,953.568115,-849.767029,591.319885,734.361267,-822.47467,354.754181,718.838013,-610.94812,406.181091,711.266113,-635.90625,593.102173,706.976074
18,0,-697.54248,481.03656,953.55072,-849.676025,591.27887,734.365417,-822.388916,354.716705,718.847839,-610.855896,406.146973,711.253052,-635.820312,593.078064,706.941956
19,0,-697.403687,480.998138,953.556396,-849.596497,591.279053,734.373047,-822.312683,354.696899,718.862427,-610.756775,406.117676,711.201721,-635.718933,593.053955,706.930603
20,0,-697.288818,480.99588,953.524841,-849.494568,591.228821,734.375305,-822.208191,354.636383,718.87439,-610.670715,406.114227,711.167053,-635.652161,593.034241,706.888245
21,0,-697.151733,480.968079,953.50946,-849.398376,591.212341,734.369995,-822.116882,354.63739,718.865479,-610.581238,406.074677,711.144775,-635.630188,592.96991,706.835144
