,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-980.430786,684.227173,1046.700317,-1068.849243,834.193115,816.114746,-1120.236084,601.861877,801.224243,-903.693115,579.854492,812.046204,-864.97052,764.561218,807.256409
2,0,-980.414795,684.235535,1046.692749,-1068.848267,834.190674,816.116516,-1120.231689,601.851685,801.224976,-903.697144,579.8479,812.033203,-864.953796,764.550537,807.253052
3,0,-980.415833,684.227966,1046.7052,-1068.850708,834.189453,816.115295,-1120.231689,601.860596,801.222534,-903.69104,579.854919,812.044861,-864.949768,764.555725,807.252502
4,0,-980.417786,684.224121,1046.682983,-1068.814575,834.178772,816.125732,-1120.223999,601.848145,801.229614,-903.677979,579.843201,812.042114,-864.947937,764.547974,807.255066
5,0,-980.416626,684.217957,1046.691528,-1068.800293,834.191284,816.12854,-1120.217163,601.841064,801.220093,-903.676514,579.835388,812.047546,-864.957214,764.553894,807.243408
6,0,-980.412292,684.218445,1046.703979,-1068.790527,834.198181,816.115906,-1120.179077,601.830322,801.23053,-903.675171,579.830627,812.030518,-864.963196,764.536987,807.254761
7,0,-980.403503,684.217651,1046.698242,-1068.77832,834.205444,816.132812,-1120.161621,601.793396,801.230957,-903.663696,579.832581,812.035583,-864.95105,764.52887,807.259766
8,0,-980.381897,684.217896,1046.685425,-1068.754028,834.216492,816.139038,-1120.109619,601.86261,801.167236,-903.666687,579.817993,812.040161,-864.957825,764.51532,807.260742
9,0,-980.373169,684.198792,1046.704712,-1068.754639,834.20343,816.148132,-1120.071533,601.830872,801.162476,-903.654297,579.824463,812.026489,-864.94458,764.490234,807.243408
10,0,-980.376709,684.178162,1046.699463,-1068.723999,834.215088,816.15802,-1120.051025,601.853821,801.150452,-903.642883,579.815918,812.023132,-864.946106,764.485962,807.259216
11,0,-980.353577,684.202271,1046.695557,-1068.712158,834.216736,816.159851,-1120.022949,601.850891,801.142761,-903.634277,579.809021,812.03009,-864.941833,764.491394,807.254333
12,0,-980.35675,684.192017,1046.689087,-1068.706787,834.228699,816.162476,-1120.002441,601.842163,801.125854,-903.618835,579.81897,812.019165,-864.94751,764.496277,807.266724
13,0,-980.336548,684.191833,1046.699097,-1068.688354,834.237,816.166504,-1119.969116,601.850708,801.138367,-903.609314,579.825684,812.0177,-864.932861,764.505615,807.259766
14,0,-980.325684,684.207581,1046.697388,-1068.676025,834.252686,816.163757,-1119.958618,601.865295,801.127686,-903.617004,579.833496,812.026306,-864.936584,764.522888,807.261475
15,0,-980.317139,684.217285,1046.69165,-1068.672241,834.259338,816.163879,-1119.934204,601.874023,801.120483,-903.602356,579.833252,812.026672,-864.944946,764.494446,807.27063
16,0,-980.321655,684.223572,1046.690674,-1068.668701,834.264404,816.152771,-1119.944702,601.895569,801.129211,-903.59906,579.858887,812.0177,-864.931702,764.512573,807.264771
17,0,-980.321655,684.227234,1046.699585,-1068.656006,834.282959,816.159058,-1119.880493,602.0177,801.017944,-903.595642,579.867432,812.034668,-864.912048,764.517212,807.261475
18,0,-980.309998,684.264587,1046.688599,-1068.655396,834.288818,816.156433,-1119.935547,601.907227,801.125977,-903.588196,579.892334,812.024658,-864.92395,764.531677,807.246887
19,0,-980.305237,684.289612,1046.689453,-1068.667603,834.323547,816.141052,-1119.947754,601.926819,801.140381,-903.58783,579.897522,812.033997,-864.925598,764.567932,807.268921
20,0,-980.304443,684.318665,1046.693359,-1068.668823,834.319275,816.149963,-1119.932983,601.943726,801.143616,-903.579956,579.92395,812.039429,-864.90564,764.60614,807.265198
