,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-998.184082,676.931824,1046.020386,-1104.907959,811.253845,813.71875,-1116.806152,574.255737,797.135254,-899.66748,588.159241,813.196594,-892.299377,776.403259,809.288574
2,0,-998.183289,676.933472,1046.026245,-1104.900635,811.237915,813.718018,-1116.808594,574.237366,797.129761,-899.663208,588.178528,813.195374,-892.299988,776.402466,809.289795
3,0,-998.181396,676.93457,1046.027344,-1104.900391,811.262573,813.724487,-1116.810669,574.246155,797.14209,-899.665344,588.159668,813.201477,-892.295288,776.409912,809.288025
4,0,-998.184082,676.931702,1046.030273,-1104.915161,811.246216,813.705994,-1116.785278,574.261536,797.135437,-899.657593,588.168396,813.195312,-892.30481,776.39624,809.26532
5,0,-998.189148,676.93219,1046.023315,-1104.885986,811.252563,813.727905,-1116.772827,574.235107,797.132629,-899.669434,588.164368,813.189026,-892.302551,776.407288,809.288818
6,0,-998.184204,676.938782,1046.01416,-1104.890259,811.273193,813.731201,-1116.751587,574.207581,797.130127,-899.682861,588.156616,813.180237,-892.32251,776.402954,809.280762
7,0,-998.186279,676.937073,1046.027344,-1104.867676,811.288574,813.732422,-1116.715332,574.194458,797.114075,-899.696289,588.144958,813.184082,-892.332092,776.398987,809.280396
8,0,-998.188171,676.943115,1046.025757,-1104.860718,811.27417,813.725281,-1116.696899,574.176331,797.122192,-899.712524,588.143799,813.165344,-892.326965,776.406555,809.286804
9,0,-998.186462,676.945435,1046.024902,-1104.862793,811.309326,813.741455,-1116.68103,574.1745,797.128113,-899.71637,588.146423,813.165588,-892.342285,776.40863,809.290833
10,0,-998.193176,676.931396,1046.026245,-1104.833862,811.307983,813.731873,-1116.652832,574.133484,797.100647,-899.73584,588.130493,813.16864,-892.340088,776.408508,809.284607
11,0,-998.190552,676.938477,1046.022339,-1104.841064,811.32843,813.729492,-1116.657715,574.150146,797.120667,-899.738281,588.134033,813.150879,-892.364197,776.396423,809.27655
12,0,-998.199097,676.930176,1046.012085,-1104.824341,811.316467,813.726318,-1116.633911,574.135986,797.111877,-899.745789,588.127014,813.161926,-892.36615,776.396912,809.291321
13,0,-998.194824,676.937866,1046.018799,-1104.827393,811.343018,813.733032,-1116.595215,574.128601,797.10498,-899.756287,588.112427,813.15625,-892.361145,776.406677,809.284607
14,0,-998.194885,676.939026,1046.019653,-1104.822266,811.342285,813.740112,-1116.615112,574.09729,797.111877,-899.762024,588.113464,813.152954,-892.367065,776.412231,809.284058
15,0,-998.193542,676.945496,1046.019165,-1104.824219,811.351196,813.736938,-1116.601074,574.135254,797.104248,-899.758423,588.122192,813.157776,-892.244934,776.399475,809.322388
16,0,-998.193787,676.943787,1046.008545,-1104.834717,811.338135,813.739441,-1116.614868,574.128235,797.111938,-899.764404,588.114746,813.139526,-892.376404,776.392273,809.283752
17,0,-998.198547,676.934143,1046.017578,-1104.8302,811.335266,813.734314,-1116.604492,574.11499,797.114624,-899.761841,588.113342,813.150391,-892.369995,776.4021,809.285828
18,0,-998.19281,676.94043,1046.004639,-1104.827148,811.356934,813.732666,-1116.608765,574.115845,797.117554,-899.760986,588.118225,813.142212,-892.36084,776.408142,809.285034
19,0,-998.193787,676.940186,1046.022461,-1104.816162,811.357239,813.736633,-1116.588135,574.118469,797.092468,-899.76062,588.117004,813.15448,-892.377136,776.395752,809.28418
20,0,-998.197266,676.936157,1046.013062,-1104.820435,811.326843,813.739441,-1116.594971,574.12323,797.105469,-899.757385,588.116943,813.141785,-892.266785,776.392212,809.3172
