,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-967.88562,670.078796,1046.307739,-1083.566162,804.051514,818.182434,-1092.462769,566.938049,800.58374,-875.362549,583.969177,810.022339,-870.321838,772.687256,807.323486
2,0,-967.881409,670.093689,1046.308472,-1083.579224,804.071411,818.173523,-1092.632935,567.031555,800.651367,-875.355713,583.98761,810.015564,-870.47699,772.680725,807.244751
3,0,-967.887268,670.115417,1046.312622,-1083.572266,804.074829,818.172546,-1092.628174,567.033691,800.658691,-875.358215,584.001526,810.01178,-870.472412,772.704468,807.247498
4,0,-967.884644,670.121887,1046.306152,-1083.581787,804.093323,818.180176,-1092.438843,566.967651,800.602173,-875.353088,584.018066,810.019531,-870.468262,772.713257,807.240112
5,0,-967.869507,670.147888,1046.307007,-1083.560669,804.114868,818.181335,-1092.420044,566.99231,800.584229,-875.3573,584.029846,810.013916,-870.337708,772.716614,807.322083
6,0,-967.861084,670.166504,1046.304443,-1083.560425,804.126587,818.184998,-1092.404541,566.997437,800.583252,-875.345093,584.053589,810.015869,-870.468628,772.746399,807.238281
7,0,-967.855896,670.175476,1046.29895,-1083.549805,804.130066,818.189392,-1092.374146,567.010071,800.569031,-875.352905,584.059387,810.00592,-870.343872,772.764404,807.304321
8,0,-967.84668,670.186096,1046.300903,-1083.525635,804.153625,818.169678,-1092.463135,567.103149,800.601624,-875.349487,584.079041,810.005737,-870.471863,772.752014,807.242065
9,0,-967.836426,670.218628,1046.297852,-1083.518799,804.165527,818.167542,-1092.34668,567.061829,800.567505,-875.337158,584.098816,809.995789,-870.468872,772.770203,807.240784
10,0,-967.829651,670.224915,1046.302002,-1083.517456,804.164856,818.175781,-1092.304688,567.045288,800.550354,-875.33197,584.103882,810.007141,-870.473328,772.764465,807.240967
11,0,-967.808228,670.247131,1046.306152,-1083.512329,804.170044,818.172058,-1092.31189,567.061523,800.56012,-875.336975,584.103943,810.00293,-870.473938,772.785583,807.241028
12,0,-967.813538,670.248779,1046.30835,-1083.513306,804.173035,818.195251,-1092.273193,567.055664,800.552734,-875.335754,584.119995,809.999268,-870.375916,772.792664,807.291687
13,0,-967.798584,670.257874,1046.30957,-1083.484497,804.209351,818.174438,-1092.241455,567.061646,800.562866,-875.315247,584.146118,809.991028,-870.459167,772.808716,807.246521
14,0,-967.788696,670.262085,1046.302734,-1083.484253,804.204346,818.181335,-1092.252319,567.081604,800.590027,-875.321899,584.141541,809.98761,-870.46167,772.789734,807.233337
15,0,-967.773865,670.292603,1046.311279,-1083.487549,804.21344,818.176941,-1092.19043,567.064026,800.569702,-875.309448,584.156494,809.996094,-870.460266,772.812073,807.249512
16,0,-967.763062,670.292175,1046.315186,-1083.484253,804.20929,818.185425,-1092.246704,567.063477,800.583923,-875.29834,584.161926,809.995728,-870.449158,772.836304,807.239624
17,0,-967.75415,670.304382,1046.319458,-1083.48584,804.217468,818.176819,-1092.220337,567.052917,800.604248,-875.294678,584.173096,809.988647,-870.442322,772.823425,807.238586
18,0,-967.751831,670.313599,1046.313843,-1083.480347,804.21698,818.186462,-1092.193115,567.071716,800.59668,-875.286682,584.174377,809.988525,-870.445068,772.815247,807.219482
19,0,-967.744202,670.316223,1046.3125,-1083.455688,804.234741,818.179565,-1092.221802,567.036804,800.632324,-875.281433,584.156494,809.999023,-870.426697,772.82959,807.226868
20,0,-967.730774,670.308594,1046.299927,-1083.467529,804.219971,818.193298,-1092.24292,567.0271,800.644531,-875.274719,584.178284,809.991943,-870.416504,772.826477,807.229797
