Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761211759140,0,0,0,0,0,0,,,cuVSLAM,,
1,1761211759173,0,0,0,0,0,0,,,cuVSLAM,33,
2,1761211759207,0,0,0,0,0,0,,,cuVSLAM,34,
3,1761211759240,0,0,0,0,0,0,,,cuVSLAM,33,
4,1761211759273,0,0,0,0,0,0,,,cuVSLAM,33,
5,1761211759307,0,0,0,0,0,0,,,cuVSLAM,34,
6,1761211759340,0,0,0,0,0,0,,,cuVSLAM,33,
7,1761211759373,0,0,0,0,0,0,,,cuVSLAM,33,
8,1761211759407,0,0,0,0,0,0,,,cuVSLAM,34,
9,1761211759440,0,0,0,0,0,0,,,cuVSLAM,33,
10,1761211759474,0,0,0,0,0,0,,,cuVSLAM,34,
11,1761211759507,0,0,0,0,0,0,,,cuVSLAM,33,
12,1761211759540,0,0,0,0,0,0,,,cuVSLAM,33,
13,1761211759574,0,0,0,0,0,0,,,cuVSLAM,34,
14,1761211759607,0,0,0,0,0,0,,,cuVSLAM,33,
15,1761211759641,0,0,0,0,0,0,,,cuVSLAM,34,
16,1761211759674,0,0,0,0,0,0,,,cuVSLAM,33,
17,1761211759707,0,0,0,0,0,0,,,cuVSLAM,33,
18,1761211759741,0,0,0,0,0,0,,,cuVSLAM,34,
19,1761211759774,0,0,0,0,0,0,,,cuVSLAM,33,
20,1761211759808,0,0,0,0,0,0,,,cuVSLAM,34,
21,1761211759841,0,0,0,0,0,0,,,cuVSLAM,33,
22,1761211759874,0,0,0,0,0,0,,,cuVSLAM,33,
23,1761211759908,0.172043219208717,0.129180029034615,-0.159983057528734,-1.3522803704681E-05,0.000185430048816584,-0.000187888740399253,,,cuVSLAM,34,
24,1761211759941,0.187104567885399,0.20447003771551,-0.233271130127832,-0.000261317913354263,0.000287875493735613,-0.000166580090742908,,,cuVSLAM,33,
25,1761211759975,0.0764820433687419,0.274146033916622,-0.236707273870707,-0.000686615737026849,0.000275235589221873,-4.80934365170436E-05,,,cuVSLAM,34,
26,1761211760008,0.0545829243492335,0.246169103775173,-0.269256997853518,-0.00075505992039826,0.000194772578998635,-5.87030447171952E-05,,,cuVSLAM,33,
27,1761211760042,0.0262986104644369,0.086356041720137,-0.389227468986064,-0.000447407286081311,0.000106081364552294,-0.000174403212565574,,,cuVSLAM,34,
28,1761211760075,0.0773072097217664,-0.0368392647942528,-0.465490622445941,-0.000275194632884721,0.000123806283626528,-0.000243052949888262,,,cuVSLAM,33,
29,1761211760108,0.166801735758781,0.0219513567571994,-0.380447512725368,-0.000303417440232225,0.000267281964742087,-0.000416398217538671,,,cuVSLAM,33,
30,1761211760142,0.380352255888283,0.0861995213199407,-0.315202458295971,-0.000473140727092196,0.000308548540479928,-0.00393320951177758,,,cuVSLAM,34,
31,1761211760175,0.693709007464349,0.038372389099095,-0.452621839940548,-0.000814034073535663,0.000205119706491673,-0.0127527373629767,,,cuVSLAM,33,
32,1761211760209,1.14481395576149,-0.0154488043335732,-0.480983493616805,-0.00101983091908012,0.000205645532391448,-0.0216831768590881,,,cuVSLAM,34,
33,1761211760242,1.85911857988685,-0.35950166056864,-0.747733167372644,-0.00121926930494251,0.000336074726503681,-0.0348087856860592,,,cuVSLAM,33,
34,1761211760275,2.86972336471081,-0.553701014723629,-0.989230815321207,-0.0016201053673158,0.00053362490543004,-0.0546508973103239,,,cuVSLAM,33,
35,1761211760309,3.50230978801846,-0.963365368079394,-1.43685878720135,-0.00180864641747121,0.000270976325149399,-0.0698800096205856,,,cuVSLAM,34,
36,1761211760342,3.74847813509405,-0.957835116423667,-1.56567257363349,-0.00194672461411916,6.6496255363284E-05,-0.0784654588104058,,,cuVSLAM,33,
37,1761211760376,4.27005486562848,-1.01583602372557,-1.68072932865471,-0.00233150515850099,3.77209322653019E-05,-0.0899777228150246,,,cuVSLAM,34,
38,1761211760409,4.85295848920941,-1.26414536498487,-1.94120896048844,-0.00268543341528631,-0.000101597156801247,-0.104001605566734,,,cuVSLAM,33,
39,1761211760442,5.4924157448113,-1.38381670694798,-1.90338492393494,-0.00291474903197193,-2.17523940785625E-05,-0.117301375853729,,,cuVSLAM,33,
40,1761211760476,6.21346849948168,-1.619853079319,-2.03752680681646,-0.00312741461752075,1.62474997149657E-06,-0.133287441082209,,,cuVSLAM,34,
41,1761211760509,6.86769001185894,-2.01780581846833,-2.14335136115551,-0.00348712867392884,8.13040978411226E-06,-0.149590757984456,,,cuVSLAM,33,
42,1761211760542,7.3412423953414,-2.35428335145116,-2.37702461890876,-0.00386959647545373,-0.000187792686509374,-0.164670151006339,,,cuVSLAM,33,
43,1761211760575,8.10009613633156,-2.5107569526881,-2.70005222409964,-0.00435816364211139,-0.000354805392579703,-0.183411650688149,,,cuVSLAM,33,
44,1761211760609,9.04332008212805,-3.0733784660697,-2.78962613083422,-0.00480212408245373,-0.000308828686703361,-0.206467082534512,,,cuVSLAM,34,
45,1761211760642,9.93539951741695,-3.77736706286669,-2.94030481018126,-0.00517108689630977,-0.000289112489728919,-0.229298587036134,,,cuVSLAM,33,
46,1761211760675,10.7506904751062,-4.63278079405427,-2.91423895396292,-0.00551620135650178,-0.000201530874408982,-0.251707093064825,,,cuVSLAM,33,
47,1761211760709,11.4294793456793,-6.26272708177567,-2.65989010222256,-0.005881619738691,4.9495960396703E-06,-0.275864954882171,,,cuVSLAM,34,
48,1761211760742,12.1876960620284,-7.87783227860928,-1.88296718988568,-0.00641797993496266,0.000515363773057909,-0.300969505674874,,,cuVSLAM,33,
49,1761211760775,12.9473963752389,-8.84606782346964,-1.91658013500273,-0.00697650068127937,0.000475468206147409,-0.32491005953405,,,cuVSLAM,33,
50,1761211760809,13.7888956815004,-9.79520753026009,-2.36204988323152,-0.00741115468902461,0.000264436773996979,-0.352302058120229,,,cuVSLAM,34,
51,1761211760842,14.3770361319184,-12.251771055162,-0.959061551839113,-0.00794535452004577,0.00126139547573284,-0.378392789426403,,,cuVSLAM,33,
52,1761211760875,15.1899419724941,-12.7183208242059,-0.644976040348411,-0.00836633349475029,0.00147144021422407,-0.399601387820283,,,cuVSLAM,33,
53,1761211760909,15.9836541861296,-13.118963688612,-0.862520129885525,-0.00877344103903326,0.00136615875778094,-0.418592272853556,,,cuVSLAM,34,
54,1761211760942,16.4369828999043,-14.593462459743,-0.947820139117539,-0.00908213272484412,0.00141534507364677,-0.43938361533026,,,cuVSLAM,33,
55,1761211760975,16.9783625751734,-15.2335111051798,-0.990165630355477,-0.00945149318876396,0.0014659100644664,-0.459703681103747,,,cuVSLAM,33,
56,1761211761009,17.3573084175587,-16.0201229155064,-1.00594642572105,-0.00991182157252628,0.00153344696533879,-0.478449376097442,,,cuVSLAM,34,
57,1761211761042,17.9909691214561,-16.9097781181335,-0.673185684718192,-0.0104106965882012,0.00186560569247892,-0.497540419762804,,,cuVSLAM,33,
58,1761211761075,18.3714721351862,-18.036026507616,-0.577378028538078,-0.0109456684008339,0.00204015678188442,-0.518487679162513,,,cuVSLAM,33,
59,1761211761109,19.5277556777,-18.415167927742,-0.594269018620253,-0.0112145170587595,0.00216661812740945,-0.538056917790215,,,cuVSLAM,34,
60,1761211761142,20.6211749464273,-18.0591717362404,-0.933607807382941,-0.0115812715997503,0.0020283861504737,-0.555763144786296,,,cuVSLAM,33,
