Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761212580066,0.0,0.0,0.0,0.0,0.0,0.0,,,cuVSLAM,,
1,1761212580132,0.0,0.0,0.0,4.656613081244219e-10,3.637978969722046e-12,-4.743384716669902e-20,,,cuVSLAM,,
2,1761212580149,0.0,0.0,0.0,4.656613428188971e-10,3.637979240772634e-12,1.62629931669518e-19,,,cuVSLAM,,
3,1761212580166,0.0,0.0,0.0,9.313227827823422e-10,7.275959240487048e-12,8.63973799312579e-19,,,cuVSLAM,,
4,1761212580182,0.0,0.0,0.0,9.31322907682505e-10,1.0913940324404356e-11,1.1689058852442548e-18,,,cuVSLAM,,
5,1761212580199,0.0,0.0,0.0,9.313221721594221e-10,1.4551922817786017e-11,3.313601235281438e-18,,,cuVSLAM,,
6,1761212580216,0.0,0.0,0.0,1.3969813084084347e-09,1.818990704589394e-11,2.3283023937139867e-10,,,cuVSLAM,,
7,1761212580232,0.0,0.0,0.0,1.3969816206583827e-09,2.1827893333990573e-11,4.6565976768854767e-10,,,cuVSLAM,,
8,1761212580249,0.0,0.0,0.0,1.8626420406027823e-09,2.546588200733901e-11,6.984883227324775e-10,,,cuVSLAM,,
9,1761212580266,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626407915991567e-09,2.910387339120307e-11,6.984860779959664e-10,,,cuVSLAM,,
10,1761212580282,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.862644927185955e-09,3.274186781084742e-11,6.984838540746622e-10,,,cuVSLAM,,
11,1761212580299,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626491182867276e-09,3.6379865591537646e-11,6.98482095058541e-10,,,cuVSLAM,,
12,1761212580316,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626498121793336e-09,4.001786705854037e-11,6.984803568576027e-10,,,cuVSLAM,,
13,1761212580332,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.328306096531907e-09,4.365587253712332e-11,6.984793056074649e-10,,,cuVSLAM,,
14,1761212580349,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.328314208125809e-09,4.365589140235892e-11,6.98478719263517e-10,,,cuVSLAM,,
15,1761212580366,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.793971234940092e-09,4.72939041993852e-11,6.98478153735412e-10,,,cuVSLAM,,
16,1761212580382,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.793972608848708e-09,5.093192187537998e-11,6.984793853875909e-10,,,cuVSLAM,,
17,1761212580399,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.7939811714875453e-09,5.4569944755616124e-11,9.31308849417276e-10,,,cuVSLAM,,
18,1761212580416,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.2596464972606153e-09,5.820797316536812e-11,1.1641345941782026e-09,,,cuVSLAM,,
19,1761212580432,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.2596483916000755e-09,6.184600742991214e-11,1.396954864113185e-09,,,cuVSLAM,,
20,1761212580449,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.725314723528599e-09,6.548404787452615e-11,1.6297710123049334e-09,,,cuVSLAM,,
21,1761212580466,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.7253028995839365e-09,6.912209482448995e-11,1.6297551810766819e-09,,,cuVSLAM,,
22,1761212580482,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.725291186647322e-09,7.276014860508537e-11,1.6297420629547655e-09,,,cuVSLAM,,
23,1761212580499,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.19094486192385e-09,7.639820954159627e-11,1.6297307697574395e-09,,,cuVSLAM,,
24,1761212580516,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.190962132986459e-09,8.003627795930871e-11,1.6297195251141713e-09,,,cuVSLAM,,
25,1761212580532,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.656602867091741e-09,8.367435418351105e-11,1.6297118817734763e-09,,,cuVSLAM,,
26,1761212580549,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.656606544737502e-09,8.731243853949393e-11,1.6297060633667713e-09,,,cuVSLAM,,
27,1761212580566,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,5.12227708169355e-09,8.73125100984485e-11,1.62970206989786e-09,,,cuVSLAM,,
28,1761212580582,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,5.587920126423355e-09,9.095060860382359e-11,1.629703454129021e-09,,,cuVSLAM,,
29,1761212580599,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,5.587896617122405e-09,9.458871610843811e-11,1.862529767757456e-09,,,cuVSLAM,,
30,1761212580616,5.290768958875333e-14,1.8625886388790036e-06,7.172902108058398e-13,6.053541223055274e-09,9.822683293759258e-11,2.095342342168239e-09,,,cuVSLAM,,
31,1761212580632,0.06994418799877167,0.18514996918383986,0.016849595340318047,0.0001172773406425271,8.313112502523715e-05,-0.00019356344949101524,,,cuVSLAM,,
32,1761212580649,0.07677361281821504,0.2688411041162908,0.012592579878401011,8.151782967549503e-05,9.311590519577449e-05,-0.00026003611700512873,,,cuVSLAM,,
33,1761212580666,0.05083249561721459,0.27700839564204216,0.09727403812576085,7.050324032603503e-05,0.00013077509057982868,-0.0002784236935267101,,,cuVSLAM,,
34,1761212580682,0.037414974940475076,0.21996455325279385,0.07668521720916033,0.00011064671076969202,9.556310603104146e-05,-0.0002691403463531341,,,cuVSLAM,,
35,1761212580699,0.03842730802716687,0.17097902309615165,0.10302946611773223,0.00011757101731062317,9.879589414254975e-05,-0.00024755910374658,,,cuVSLAM,,
36,1761212580732,0.060052516346331686,0.15546611393801868,0.19400283053983003,8.387819211471147e-05,0.00016095028854618053,-0.00021317294952927595,,,cuVSLAM,,
37,1761212580749,0.09184034570353106,0.19345352484378964,0.2617062709759921,5.0201654016914386e-05,0.0002273804802875772,-0.0002028208268638552,,,cuVSLAM,,
38,1761212580766,0.09628082625567913,0.21977770666126162,0.3031250089406967,3.1032090519546615e-05,0.0002780652910513598,-0.0001896686730356309,,,cuVSLAM,,
39,1761212580782,0.10033295984612778,0.2432093460811302,0.3339965478517115,2.3866603795328766e-05,0.00031640149753353874,-0.00019353156350725446,,,cuVSLAM,,
40,1761212580799,0.13212650083005428,0.23355863231699914,0.3448827483225614,1.3206400503852518e-05,0.00034437101727189724,-0.00018196682172239503,,,cuVSLAM,,
41,1761212580816,0.14093868958298117,0.26369531406089664,0.3313469060231,1.2491629643876923e-05,0.0003466963593650445,-0.00020172010969078113,,,cuVSLAM,,
42,1761212580832,0.16425161447841674,0.27130558737553656,0.3267563588451594,3.327421729866858e-05,0.00035599845601695955,-0.00021445108746554275,,,cuVSLAM,,
43,1761212580849,0.14522369019687176,0.2482959534972906,0.35508908331394196,4.368906078764898e-05,0.00036380315383225927,-0.00020194290977404938,,,cuVSLAM,,
44,1761212580866,0.1166673464467749,0.22772813099436462,0.4212996282149106,2.7808415209915517e-05,0.00037290713487178,-0.00017929863632848002,,,cuVSLAM,,
45,1761212580882,0.0909245281945914,0.2011340984608978,0.48299235641025007,-1.7802378367686635e-05,0.0003574547544084927,-0.0001379981052736601,,,cuVSLAM,,
46,1761212580899,0.07223369175335392,0.2524962183088064,0.5127519834786654,-0.00011369820636430265,0.00031309371996661797,-0.00013495810867939653,,,cuVSLAM,,
47,1761212580916,0.04012246063211933,0.3460177103988826,0.5408512079156935,-0.00016842519223585689,0.00027658411243273973,-0.00016783312433810003,,,cuVSLAM,,
48,1761212580932,0.06845229654572904,0.4146893916185945,0.6008583004586399,-0.00017252252552157926,0.00029942485608664093,-0.0001998520775198928,,,cuVSLAM,,
49,1761212580949,0.06375476368702948,0.5084183649159968,0.5118575063534081,-0.0001509316155928401,0.0002342087437574084,-0.00026003478366128406,,,cuVSLAM,,
