Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761212197679,0.0,0.0,0.0,0.0,0.0,0.0,,,cuVSLAM,,
1,1761212197746,0.0,0.0,0.0,4.656613081244219e-10,3.637978969722046e-12,-4.743384716669902e-20,,,cuVSLAM,,
2,1761212197762,0.0,0.0,0.0,4.656613428188971e-10,3.637979240772634e-12,1.62629931669518e-19,,,cuVSLAM,,
3,1761212197779,0.0,0.0,0.0,9.313227827823422e-10,7.275959240487048e-12,8.63973799312579e-19,,,cuVSLAM,,
4,1761212197795,0.0,0.0,0.0,9.31322907682505e-10,1.0913940324404356e-11,1.1689058852442548e-18,,,cuVSLAM,,
5,1761212197812,0.0,0.0,0.0,9.313221721594221e-10,1.4551922817786017e-11,3.313601235281438e-18,,,cuVSLAM,,
6,1761212197829,0.0,0.0,0.0,1.3969813084084347e-09,1.818990704589394e-11,2.3283023937139867e-10,,,cuVSLAM,,
7,1761212197845,0.0,0.0,0.0,1.3969816206583827e-09,2.1827893333990573e-11,4.6565976768854767e-10,,,cuVSLAM,,
8,1761212197862,0.0,0.0,0.0,1.8626420406027823e-09,2.546588200733901e-11,6.984883227324775e-10,,,cuVSLAM,,
9,1761212197879,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626407915991567e-09,2.910387339120307e-11,6.984860779959664e-10,,,cuVSLAM,,
10,1761212197895,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.862644927185955e-09,3.274186781084742e-11,6.984838540746622e-10,,,cuVSLAM,,
11,1761212197912,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626491182867276e-09,3.6379865591537646e-11,6.98482095058541e-10,,,cuVSLAM,,
12,1761212197929,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626498121793336e-09,4.001786705854037e-11,6.984803568576027e-10,,,cuVSLAM,,
13,1761212197945,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.328306096531907e-09,4.365587253712332e-11,6.984793056074649e-10,,,cuVSLAM,,
