Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761213114314,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
1,1761213114330,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
2,1761213114347,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
3,1761213114364,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
4,1761213114380,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
5,1761213114397,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
6,1761213114414,-0.259704451309517,-0.10512517474126071,0.11950229236390442,0.00012376160884741694,0.0007787648355588317,0.0002903291897382587,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
7,1761213114430,-0.3136182785965502,-0.08801521471468732,0.10184381972067058,9.684638644102961e-05,0.0009668628918007016,0.00032706442289054394,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
8,1761213114447,-0.38103715633042157,-0.09488216892350465,0.0908052024897188,6.322564149741083e-05,0.0011504491558298469,0.00041575837531127036,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
9,1761213114464,-0.4440154298208654,-0.0715332935214974,0.09591424895916134,-2.150610634998884e-05,0.0013214435894042253,0.000510792073328048,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
10,1761213114480,-0.5229982198216021,-0.04374116178951226,0.08706469816388562,-0.0001368113444186747,0.0014562290161848068,0.0005956863169558346,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
11,1761213114497,-0.6048331852070987,0.006663954081886914,0.09804488945519552,-0.0002533273072913289,0.0016696370439603925,0.0006674578762613237,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
12,1761213114513,-0.6782796699553728,0.04921513027511537,0.11003082909155637,-0.0003395306412130594,0.0019131808076053858,0.0007460617343895137,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
13,1761213114530,-0.7393553969450295,0.08799262286629528,0.12570846593007445,-0.0004132393514737487,0.0021387669257819653,0.0008281291811726987,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
14,1761213114547,-0.8131085778586566,0.07045393431326374,0.13520231004804373,-0.00043759914115071297,0.0023813850712031126,0.000915086769964546,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
15,1761213114564,-0.8874876657500863,0.025320190616184846,0.12101733591407537,-0.00043889196240343153,0.002687101485207677,0.0010227423626929522,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
16,1761213114580,-0.9317665244452655,-0.011139656635350548,0.1041650102706626,-0.00044612662168219686,0.0029586299788206816,0.0011163955787196755,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
17,1761213114597,-0.9357614326290786,-0.055292915931204334,0.1021890711854212,-0.00044473717571236193,0.0031416816636919975,0.0011911335168406367,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
