Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761212579049,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
1,1761212579066,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
2,1761212579082,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
3,1761212579099,0.025961351639125496,-0.05438715379568748,0.017632370145292953,5.010235690861009e-05,2.043040694843512e-05,6.7854080043616705e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
4,1761212579116,-0.005457602583192056,-0.02565110662544612,0.0518322667630855,6.430968642234802e-05,1.2197302567074075e-05,2.409854278084822e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
5,1761212579132,-0.026987450837623328,-0.006711239166179439,0.08786281250650063,0.00011706911027431488,2.3460897864424624e-05,6.0460824897745624e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
6,1761212579149,-0.05472648990689777,0.019258854081272148,0.1186868321383372,0.00016558170318603516,3.077052679145709e-05,0.00010015503357863054,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
7,1761212579166,-0.06920802843524143,0.03180380372214131,0.15333897317759693,0.0002064080908894539,3.331550396978855e-05,0.00011458069639047608,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
8,1761212579182,-0.0883566535776481,0.053934636525809765,0.18280796939507127,0.00021553132683038712,2.5742878278833814e-05,0.00011928129242733121,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
9,1761212579199,-0.08503151912009344,0.0684656624798663,0.20800506172236055,0.00021337345242500305,1.3643239981320221e-05,0.00010461304918862879,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
10,1761212579216,-0.06924347690073773,0.06391422357410192,0.20938494708389044,0.0001996811479330063,-1.8972486941493116e-06,4.673898729379289e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
11,1761212579232,-0.06924347690073773,0.06391422357410192,0.20938494708389044,0.0001996811479330063,-1.8972486941493116e-06,4.673898729379289e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
12,1761212579249,-0.04731827357318252,0.005368757683754666,0.1549392327433452,0.00018928106874227524,-8.805148354440462e-06,-1.2470562069211155e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
13,1761212579266,-0.013660857803188264,-0.0006847912459306826,0.13648807362187654,0.0001737978309392929,1.4798930578763247e-06,-1.7595373719814233e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
14,1761212579282,-0.009127106750383973,0.01309023627982242,0.11843472020700574,0.00014159921556711197,2.3313300516747404e-06,-7.343226570810657e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
15,1761212579299,-0.007174916390795261,0.02847160430974327,0.10322519665351138,0.00010766461491584778,8.174881259037647e-06,1.3195540304877795e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
16,1761212579316,-0.01222222090291325,0.053014573495602235,0.08411378803430125,8.041225373744965e-05,1.9001445252797566e-05,3.94878770748619e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
17,1761212579332,-0.01222222090291325,0.053014573495602235,0.08411378803430125,8.041225373744965e-05,1.9001445252797566e-05,3.94878770748619e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
18,1761212579349,-0.04180904579698108,0.05343785960576497,0.11420201190048829,0.0001233899820363149,1.1285494110779837e-05,4.756819544127211e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
