Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761211756344,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
1,1761211756361,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
2,1761211756378,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,INERTIAL
3,1761211756394,0.0,0.0,0.0,0.0,0.0,0.0,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
4,1761211756411,-0.04874556543654762,-0.08931483898777515,0.0028623385333048645,4.586763316183351e-05,-1.321475974691566e-05,1.1604112842178438e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
5,1761211756428,-0.05801723091281019,-0.11982626165263355,-0.002200244352934533,6.785616278648376e-05,-2.1309711883077398e-05,8.417057870246936e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
6,1761211756444,-0.07366511272266507,-0.13998056238051504,0.00394092876376817,8.504092693328857e-05,-2.932937968580518e-05,1.184417760669021e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
7,1761211756461,-0.06156124436529353,-0.1402220514137298,0.002453067963870126,8.062831329880282e-05,-1.4377606021298561e-05,1.4407262824533973e-05,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
8,1761211756478,-0.04345610796008259,-0.13828996452502906,-3.879424337327464e-06,8.137523400364444e-05,-7.375680979748722e-06,8.124497981043532e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
9,1761211756495,-0.023996759409783408,-0.10743246093625203,0.006603700057894457,6.902776658535004e-05,-6.816700533818221e-06,-8.667184374644421e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
10,1761211756511,-0.012541720934677869,-0.08622348104836419,0.008385222827200778,5.523115396499634e-05,2.6141101443499792e-06,-6.245497388590593e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
11,1761211756528,9.246872600954248e-06,-0.08504834841005504,0.03398533590370789,5.4234638810157776e-05,8.355943464266602e-06,5.756138307333458e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
12,1761211756545,-0.00816507417766843,-0.09786006557988003,0.02276804661960341,6.640888750553131e-05,-3.2631519388814922e-06,2.035769057329162e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
13,1761211756561,0.0012139436194047448,-0.10525181278353557,-0.0012776027915606392,6.12288640695624e-05,2.9541031381086214e-06,-5.42320867680246e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
14,1761211756578,0.020486664652707987,-0.10755679977592081,-0.008746325875108596,5.8338046073913574e-05,1.4536359230987728e-05,-5.037447408540174e-06,100,OK,INITIALIZING,OK,VISUAL_INERTIAL
